"","steps","date","interval","interval_seq"
"1",1177.5,2012-10-01,0,2012-10-01 00:00:00
"2",1177.5,2012-10-01,5,2012-10-01 00:05:00
"3",1177.5,2012-10-01,10,2012-10-01 00:10:00
"4",1177.5,2012-10-01,15,2012-10-01 00:15:00
"5",1177.5,2012-10-01,20,2012-10-01 00:20:00
"6",1177.5,2012-10-01,25,2012-10-01 00:25:00
"7",1177.5,2012-10-01,30,2012-10-01 00:30:00
"8",1177.5,2012-10-01,35,2012-10-01 00:35:00
"9",1177.5,2012-10-01,40,2012-10-01 00:40:00
"10",1177.5,2012-10-01,45,2012-10-01 00:45:00
"11",1177.5,2012-10-01,50,2012-10-01 00:50:00
"12",1177.5,2012-10-01,55,2012-10-01 00:55:00
"13",1177.5,2012-10-01,100,2012-10-01 01:00:00
"14",1177.5,2012-10-01,105,2012-10-01 01:05:00
"15",1177.5,2012-10-01,110,2012-10-01 01:10:00
"16",1177.5,2012-10-01,115,2012-10-01 01:15:00
"17",1177.5,2012-10-01,120,2012-10-01 01:20:00
"18",1177.5,2012-10-01,125,2012-10-01 01:25:00
"19",1177.5,2012-10-01,130,2012-10-01 01:30:00
"20",1177.5,2012-10-01,135,2012-10-01 01:35:00
"21",1177.5,2012-10-01,140,2012-10-01 01:40:00
"22",1177.5,2012-10-01,145,2012-10-01 01:45:00
"23",1177.5,2012-10-01,150,2012-10-01 01:50:00
"24",1177.5,2012-10-01,155,2012-10-01 01:55:00
"25",1177.5,2012-10-01,200,2012-10-01 02:00:00
"26",1177.5,2012-10-01,205,2012-10-01 02:05:00
"27",1177.5,2012-10-01,210,2012-10-01 02:10:00
"28",1177.5,2012-10-01,215,2012-10-01 02:15:00
"29",1177.5,2012-10-01,220,2012-10-01 02:20:00
"30",1177.5,2012-10-01,225,2012-10-01 02:25:00
"31",1177.5,2012-10-01,230,2012-10-01 02:30:00
"32",1177.5,2012-10-01,235,2012-10-01 02:35:00
"33",1177.5,2012-10-01,240,2012-10-01 02:40:00
"34",1177.5,2012-10-01,245,2012-10-01 02:45:00
"35",1177.5,2012-10-01,250,2012-10-01 02:50:00
"36",1177.5,2012-10-01,255,2012-10-01 02:55:00
"37",1177.5,2012-10-01,300,2012-10-01 03:00:00
"38",1177.5,2012-10-01,305,2012-10-01 03:05:00
"39",1177.5,2012-10-01,310,2012-10-01 03:10:00
"40",1177.5,2012-10-01,315,2012-10-01 03:15:00
"41",1177.5,2012-10-01,320,2012-10-01 03:20:00
"42",1177.5,2012-10-01,325,2012-10-01 03:25:00
"43",1177.5,2012-10-01,330,2012-10-01 03:30:00
"44",1177.5,2012-10-01,335,2012-10-01 03:35:00
"45",1177.5,2012-10-01,340,2012-10-01 03:40:00
"46",1177.5,2012-10-01,345,2012-10-01 03:45:00
"47",1177.5,2012-10-01,350,2012-10-01 03:50:00
"48",1177.5,2012-10-01,355,2012-10-01 03:55:00
"49",1177.5,2012-10-01,400,2012-10-01 04:00:00
"50",1177.5,2012-10-01,405,2012-10-01 04:05:00
"51",1177.5,2012-10-01,410,2012-10-01 04:10:00
"52",1177.5,2012-10-01,415,2012-10-01 04:15:00
"53",1177.5,2012-10-01,420,2012-10-01 04:20:00
"54",1177.5,2012-10-01,425,2012-10-01 04:25:00
"55",1177.5,2012-10-01,430,2012-10-01 04:30:00
"56",1177.5,2012-10-01,435,2012-10-01 04:35:00
"57",1177.5,2012-10-01,440,2012-10-01 04:40:00
"58",1177.5,2012-10-01,445,2012-10-01 04:45:00
"59",1177.5,2012-10-01,450,2012-10-01 04:50:00
